ICCAT Serial Number,Country,Reg.Number,Name of FFB,Location,Capacity (t),cleaned_locations
ATEU1ESP00004,Spain,ICAR 04,ENSENADA DE BARBATE,"A: 36º 08' 58,38""05º 55' 51,60"" B: 36º 08' 55,38""05º 55' 42,84"" C: 36º 08' 59,40""05º 55' 41,88"" D:36º 09' 02,40""05º 55' 50,52”",1400.0,"[{""lat"": 36.14955, ""lon"": 5.931}, {""lat"": 36.148717, ""lon"": 5.928567}, {""lat"": 36.149833, ""lon"": 5.9283}, {""lat"": 36.150667, ""lon"": 5.9307}]"
ATEU1ESP00005,Spain,ICAR 05,"BALFEGO TUNA, S.L.","A: 40º 51,5´N 00º 51,0 ´E B:40º 51,95´N 00º 51,17´E C:40º 51,57´N 00º 51,5´E D: 40º 51,9´N 00º 51,61´E",6160.0,"[{""lat"": 40.858333, ""lon"": 0.85}, {""lat"": 40.865833, ""lon"": 0.852833}, {""lat"": 40.8595, ""lon"": 0.858333}, {""lat"": 40.865, ""lon"": 0.860167}]"
ATEU1ESP00006,Spain,ICAR 06,PISCIFACTORIAS ALBADALEJO S.L.,A:37º47´36.47''N 00º40'55.06''W B:37º47'35.98''N 00º40'30.55''W C:37º47´19.77''N 00º40'31.06''W D:37º47'20.26''N 00º40'55.57''W,0.0,"[{""lat"": 37.793464, ""lon"": -0.681961}, {""lat"": 37.793328, ""lon"": -0.675153}, {""lat"": 37.788825, ""lon"": -0.675294}, {""lat"": 37.788961, ""lon"": -0.682103}]"
ATEU1ESP00008,Spain,ICAR 08,TUNA FARMS,A:37º34'25''N 00º52'32''W B:37º34'25''N 00º52'12''W C:37º34'13''N 00º52'32''W D:37º34'13''N 00º52'12''W,0.0,"[{""lat"": 37.573611, ""lon"": -0.875556}, {""lat"": 37.573611, ""lon"": -0.87}, {""lat"": 37.570278, ""lon"": -0.875556}, {""lat"": 37.570278, ""lon"": -0.87}]"
ATEU1ESP00011,Spain,ICAR 11,CALADEROS DEL MEDITERRANEO 2,"37º 34´06,341´´ N ; 000º 52´39,300´´ W 37º 33´59,998´´ N ; 000º 53´12,358´´ W 37º 33´44,272´´ N ; 000º 53´12,802´´ W 37º",1155.0,"[{""lat"": 37.568428, ""lon"": -0.877583}, {""lat"": 37.566666, ""lon"": -0.886766}, {""lat"": 37.562298, ""lon"": -0.886889}]"
ATEU1ESP00013,Spain,ICAR 13,NATURE PESCA S.L.,"A: 37º 13,79ºN 0001º 44,803 W B:37º 13,1ºN 001W C:37º 13,6N 001º 44,5W D:37º 13,2ºN 001 45,2 W",0.0,"[{""lat"": 37.229833, ""lon"": -1.746717}, {""lat"": 37.226667, ""lon"": -1.741667}, {""lat"": 37.22, ""lon"": -45.2}]"
ATEU1ESP00014,Spain,ICAR 14,PISCIFACTORIAS DEL MEDITERRANEO,"A: 37º 49`,6N 000º 40´,7 W C: 37º 49´,6N 000º 40´,4W B: 37º 49´,0 N 000º 40´,5 W D: 37º 49´,0 N 000º 41´,0 W""",1680.0,"[{""lat"": 37.816667, ""lon"": -37.816667}, {""lat"": 37.816667, ""lon"": -37.816667}]"
ATEU1ESP00019,Spain,ICAR 19,PISCIFACTORIAS DEL MEDITERRANEO 2,"A 37º 53,064’ N 0º 41,780’ W B 37º 52,987’ N 0º 41,453’ W C 37º 52,520’ N 0º 41,627’ W D 37º 52,597’ N 0º 41,954’ W",70.0,"[{""lat"": 37.8844, ""lon"": -0.696333}, {""lat"": 37.883117, ""lon"": -0.690883}, {""lat"": 37.875333, ""lon"": -0.693783}, {""lat"": 37.876617, ""lon"": -0.699233}]"
ATEU1ESP00018,Spain,ICAR 18,ITSAS BALFEGO,"A:43º22,337´N 02º10,962'W B:43º22,564'N 02º10,353'W C:43º22,166´N 02º10,080'W D:43º21,953’N 02º10,706'W",280.0,"[{""lat"": 43.372283, ""lon"": -2.1827}, {""lat"": 43.376067, ""lon"": -2.17255}, {""lat"": 43.369433, ""lon"": -2.168}, {""lat"": 43.365883, ""lon"": -2.178433}]"
ATEU1GRC00002,Greece,GR02/2007,GLARONISI FISHERIES Ltd,"GLARONISI ISLAND, latitude - longitude, 38.11634853491745 22.97676785229843, 38.11476441906379 22.979998337758474, 38.11430500861842 22.979637418828407, 38.11588912375848 22.976406934730914",1100.0,"[{""lat"": 38.116349, ""lon"": 22.976768}, {""lat"": 38.114764, ""lon"": 22.979998}, {""lat"": 38.114305, ""lon"": 22.979637}, {""lat"": 38.115889, ""lon"": 22.976407}]"
