year,month,week,origin,volume_tonnes,price_high,price_mid,price_low,approx_fish_count,week_number,week_id
2007,3,4,各地,51.2,18375.0,6970.0,1680,205,164,2007-03-4
2007,3,5,各地,35.0,16275.0,6757.0,2310,140,165,2007-03-5
2007,4,1,各地,41.3,13125.0,5955.0,2100,165,166,2007-04-1
2007,4,2,各地,40.5,13650.0,5072.0,1575,162,167,2007-04-2
2007,4,3,各地,36.0,8925.0,4590.0,1260,144,168,2007-04-3
2007,4,4,各地,40.4,9975.0,5024.0,2100,162,169,2007-04-4
2007,5,1,各地,63.6,8400.0,3766.0,1680,254,170,2007-05-1
2007,5,2,各地,55.5,10500.0,4074.0,1575,222,171,2007-05-2
2007,5,3,各地,42.9,8400.0,3740.0,1260,172,172,2007-05-3
2007,5,4,各地,47.3,8400.0,3072.0,1050,189,173,2007-05-4
2007,5,5,各地,38.4,7140.0,2813.0,840,154,174,2007-05-5
2007,6,1,各地,45.2,10500.0,2575.0,840,181,175,2007-06-1
2007,6,2,各地,47.8,16800.0,2474.0,315,191,176,2007-06-2
2007,6,3,各地,48.1,26250.0,1965.0,1250,192,177,2007-06-3
2007,6,4,各地,41.2,16800.0,2786.0,1575,165,178,2007-06-4
2007,7,1,各地,46.6,24675.0,2589.0,1365,186,179,2007-07-1
2007,7,2,各地,53.7,11550.0,1927.0,1050,215,180,2007-07-2
2007,7,3,各地,49.1,10500.0,1536.0,420,196,181,2007-07-3
2007,7,4,各地,37.0,11550.0,2762.0,1050,148,182,2007-07-4
2007,8,1,各地,37.2,9240.0,3307.0,1155,149,183,2007-08-1
2007,8,2,各地,30.9,9765.0,4305.0,1260,124,184,2007-08-2
2007,8,3,各地,41.0,8400.0,4198.0,1365,164,185,2007-08-3
2007,8,4,各地,45.3,12075.0,4309.0,2100,181,186,2007-08-4
2007,8,5,各地,36.4,8925.0,3578.0,840,146,187,2007-08-5
2007,9,1,各地,32.8,8400.0,3404.0,1890,131,188,2007-09-1
2007,9,2,各地,27.2,8715.0,4365.0,840,109,189,2007-09-2
2007,9,3,各地,39.3,8400.0,3713.0,1365,157,190,2007-09-3
2007,9,4,各地,32.0,9450.0,4196.0,1050,128,191,2007-09-4
2007,10,1,各地,31.0,9450.0,4399.0,2100,124,192,2007-10-1
2007,10,2,各地,40.5,11025.0,4560.0,2310,162,193,2007-10-2
2007,10,3,各地,36.9,13650.0,4586.0,1575,148,194,2007-10-3
2007,10,4,各地,31.5,11550.0,5612.0,2100,126,195,2007-10-4
2007,11,1,各地,40.0,12600.0,4660.0,2310,160,196,2007-11-1
2007,11,2,各地,33.1,11025.0,3963.0,1050,132,197,2007-11-2
2007,11,3,各地,35.7,9765.0,4758.0,2100,143,198,2007-11-3
2007,11,4,各地,36.0,12600.0,5376.0,525,144,199,2007-11-4
2007,11,5,各地,39.5,11550.0,5840.0,2100,158,200,2007-11-5
2007,12,1,各地,42.9,10500.0,5335.0,1470,172,201,2007-12-1
2007,12,2,各地,42.8,9975.0,5156.0,2100,171,202,2007-12-2
2007,12,3,各地,46.3,10500.0,4943.0,2415,185,203,2007-12-3
2007,12,4,各地,60.8,15750.0,6461.0,1140,243,204,2007-12-4
2007,12,5,各地,67.9,13650.0,4539.0,1575,272,205,2007-12-5
2008,1,1,各地,47.7,23100.0,6175.0,2310,191,206,2008-01-1
2008,1,2,各地,33.6,16800.0,4720.0,1785,134,207,2008-01-2
2008,1,3,各地,31.5,15750.0,6841.0,2100,126,208,2008-01-3
2008,1,4,各地,28.4,11550.0,5768.0,2100,114,209,2008-01-4
2008,2,1,各地,30.4,18900.0,4662.0,2625,122,210,2008-02-1
2008,2,2,各地,27.2,17850.0,6226.0,2625,109,211,2008-02-2
2008,2,3,各地,29.4,19950.0,6922.0,2940,118,212,2008-02-3
2008,2,4,各地,29.2,15750.0,5812.0,2625,117,213,2008-02-4
2008,3,1,各地,33.8,19950.0,5454.0,2625,135,214,2008-03-1
2008,3,2,各地,45.3,15750.0,5424.0,2625,181,215,2008-03-2
2008,3,3,各地,35.9,15750.0,5230.0,1365,144,216,2008-03-3
2008,3,4,各地,35.2,18375.0,5872.0,1575,141,217,2008-03-4
2008,4,1,各地,45.0,14175.0,4111.0,1575,180,218,2008-04-1
2008,4,2,各地,36.2,13650.0,3932.0,1050,145,219,2008-04-2
2008,4,3,各地,28.5,12600.0,4749.0,1050,114,220,2008-04-3
2008,4,4,各地,37.5,9450.0,5893.0,2625,150,221,2008-04-4
2008,5,1,各地,36.6,8925.0,4755.0,2100,146,222,2008-05-1
2008,5,2,各地,46.4,11550.0,3953.0,1575,186,223,2008-05-2
2008,5,3,各地,34.2,8400.0,3307.0,1050,137,224,2008-05-3
2008,5,4,各地,32.6,10500.0,3069.0,1575,130,225,2008-05-4
2008,5,5,各地,23.7,8400.0,3618.0,1890,95,226,2008-05-5
2008,6,1,各地,45.5,11550.0,3678.0,1050,182,227,2008-06-1
2008,6,2,各地,58.6,12600.0,1938.0,1050,234,228,2008-06-2
2008,6,3,各地,61.4,12600.0,1916.0,1050,246,229,2008-06-3
2008,6,4,各地,33.8,10500.0,2825.0,1575,135,230,2008-06-4
2008,7,1,各地,36.8,10500.0,2236.0,1050,147,231,2008-07-1
2008,7,2,各地,32.8,12600.0,2922.0,1050,131,232,2008-07-2
2008,7,3,各地,35.9,14700.0,2447.0,1050,144,233,2008-07-3
2008,7,4,各地,27.7,14700.0,3080.0,1050,111,234,2008-07-4
2008,7,5,各地,24.7,14700.0,4202.0,1050,99,235,2008-07-5
2008,8,1,各地,28.2,11550.0,4026.0,630,113,236,2008-08-1
2008,8,2,各地,24.5,13125.0,4333.0,630,98,237,2008-08-2
2008,8,3,各地,25.3,9975.0,4709.0,2100,101,238,2008-08-3
2008,8,4,各地,20.2,10815.0,4962.0,2100,81,239,2008-08-4
2008,9,1,各地,26.3,17325.0,5440.0,2415,105,240,2008-09-1
2008,9,2,各地,24.8,10500.0,5341.0,2520,99,241,2008-09-2
2008,9,3,各地,27.0,10290.0,5026.0,1575,108,242,2008-09-3
2008,9,4,各地,22.9,10500.0,4861.0,1680,92,243,2008-09-4
2008,10,1,各地,24.7,13125.0,6269.0,2100,99,244,2008-10-1
2008,10,2,各地,25.0,15750.0,5303.0,1260,100,245,2008-10-2
2008,10,3,各地,28.9,12075.0,4834.0,1050,116,246,2008-10-3
